rank,best_thesis,best_adj,name,domain,vertical,region,banyan_tier,banyan_adj,banyan_conf,growth_tier,growth_adj,growth_conf,already_acquired_or_public
232,growth,0.479,TurnKey Lender,turnkey-lender.com,Lending automation,Singapore / US,C,0.475,0.430,C,0.479,0.440,False
233,growth,0.478,ComplyAdvantage,complyadvantage.com,AML / financial crime risk,UK,C,0.462,0.418,C,0.478,0.428,False
234,banyan,0.478,BuildBook,buildbook.co,Residential construction management,USA,C,0.478,0.385,C,0.358,0.365,False
235,banyan,0.478,Rastrac,rastrac.com,Fleet / asset tracking,US,C,0.478,0.412,C,0.358,0.385,False
236,banyan,0.477,Actionstep,actionstep.com,Law practice management,New Zealand,C,0.477,0.413,C,0.435,0.415,False
237,banyan,0.476,AssetBook,assetbook.com,RIA portfolio reporting/billing,US,C,0.476,0.380,C,0.335,0.340,False
238,banyan,0.476,Parsec Automation / TrakSYS,parsec-corp.com,MES/MOM,US,C,0.476,0.422,C,0.450,0.417,False
239,banyan,0.474,Workiz,workiz.com,Home services FSM,USA / Israel,C,0.474,0.435,C,0.463,0.415,False
240,growth,0.473,FreightPOP,freightpop.com,Multimodal TMS / WMS,US,C,0.466,0.425,C,0.473,0.440,False
241,banyan,0.473,ERPLY,erply.com,Retail POS/inventory,Estonia/US,C,0.473,0.415,C,0.423,0.402,False
242,banyan,0.472,Nextpoint,nextpoint.com,E-discovery / litigation,US,C,0.472,0.400,C,0.391,0.385,False
243,banyan,0.472,TEEPTRAK,teeptrak.com,OEE monitoring,France,C,0.472,0.362,C,0.374,0.343,False
244,banyan,0.471,Condo Control,condocontrol.com,Condo/HOA management software,Canada,C,0.471,0.380,C,0.386,0.365,False
245,growth,0.470,Ylopo,ylopo.com,Real-estate brokerage lead-gen/CRM,US,C,0.451,0.390,C,0.470,0.415,False
246,banyan,0.470,Assignar,assignar.com,Construction workforce/equipment ops,Australia / USA,C,0.470,0.425,C,0.448,0.400,False
247,growth,0.470,Sprinto,sprinto.com,Compliance automation,US/India,C,0.434,0.413,C,0.470,0.435,False
248,banyan,0.470,innRoad,innroad.com,Hotel PMS,US,C,0.470,0.415,C,0.456,0.402,False
249,banyan,0.469,OptimoRoute,optimoroute.com,Route planning / dispatch,US,C,0.469,0.415,C,0.427,0.410,False
250,banyan,0.469,Kaizen Reporting,kaizenreporting.com,Regulatory reporting QA,UK,C,0.469,0.395,C,0.418,0.393,False
